Ticker,Date,StockPrice,NetEPS,PE
CME,2014-01-01,50.7,,16.52
CME,2015-01-01,62.7275,,17.3375
CME,2016-01-01,73.7825,,17.79
CME,2017-01-01,98.435,,17.5725
CME,2018-01-01,132.87,,13.895
CME,2019-01-01,153.64,,27.8525
CME,2020-01-01,140.5325,,22.4575
CME,2021-01-01,177.70250000000001,,29.167499999999997
CME,2022-01-01,172.6325,,22.6425
CME,2023-01-01,181.6075,,21.7975
CME,2024-01-01,208.805,,22.5375
CME,2025-01-01,273.55,,26.816666666666666
LMT,2010-01-01,47.1225,,6.1175
LMT,2011-01-01,51.6775,,6.42
LMT,2012-01-01,62.3275,,7.33
LMT,2013-01-01,86.745,,9.595
LMT,2014-01-01,130.355,,12.8475
LMT,2015-01-01,156.2575,,13.865
LMT,2016-01-01,189.71,,13.747499999999999
LMT,2017-01-01,238.9775,,21.125
LMT,2018-01-01,258.1,,24.9225
LMT,2019-01-01,308.525,,14.82
LMT,2020-01-01,315.845,,13.685
LMT,2021-01-01,326.1575,,13.805
LMT,2022-01-01,404.0425,,19.58
LMT,2023-01-01,426.6925,,16.5875
LMT,2024-01-01,486.775,,18.7225
LMT,2025-01-01,445.84666666666664,,23.16333333333333
PLD,2010-01-01,17.235,,104.1375
PLD,2011-01-01,20.4925,,41.7175
PLD,2012-01-01,24.025000000000002,,43.457499999999996
PLD,2013-01-01,26.7725,,142.60750000000002
PLD,2014-01-01,29.5275,,118.22749999999999
PLD,2015-01-01,30.5475,,16.28
PLD,2016-01-01,38.9675,,22.9725
PLD,2017-01-01,48.0925,,18.07
PLD,2018-01-01,52.925,,17.84
PLD,2019-01-01,69.66499999999999,,26.2225
PLD,2020-01-01,81.965,,35.3525
PLD,2021-01-01,116.39,,46.125
PLD,2022-01-01,112.83,,23.025
PLD,2023-01-01,116.0125,,34.1575
PLD,2024-01-01,114.9825,,33.8375
PLD,2025-01-01,107.38,,28.323333333333334
SMFG,2010-01-01,3.225,,5.4825
SMFG,2011-01-01,3.2775,,2.5925000000000002
SMFG,2012-01-01,4.0225,,3.305
SMFG,2013-01-01,5.9,,3.895
SMFG,2014-01-01,5.2524999999999995,,4.615
SMFG,2015-01-01,5.48,,5.565
SMFG,2016-01-01,3.93,,4.27
SMFG,2017-01-01,5.6,,5.71
SMFG,2018-01-01,5.75,,4.83
SMFG,2019-01-01,5.45,,4.74
SMFG,2020-01-01,4.6,,4.56
SMFG,2021-01-01,5.96,,6.14
SMFG,2022-01-01,5.23,,5.51
SMFG,2023-01-01,8.03,,8.54
SMFG,2024-01-01,13.6,,13.315000000000001
SMFG,2025-01-01,15.59,,17.13
MMC,2010-01-01,18.1925,,17.5175
MMC,2011-01-01,22.72,,13.1425
MMC,2012-01-01,26.18,,13.07
MMC,2013-01-01,34.207499999999996,,14.61
MMC,2014-01-01,43.3975,,16.78
MMC,2015-01-01,46.355000000000004,,16.5275
MMC,2016-01-01,56.7775,,17.805
MMC,2017-01-01,69.52250000000001,,20.535
MMC,2018-01-01,73.0375,,23.365
MMC,2019-01-01,92.25,,29.5875
MMC,2020-01-01,98.6775,,25.6125
MMC,2021-01-01,138.505,,26.79
MMC,2022-01-01,152.9575,,23.955
MMC,2023-01-01,177.95999999999998,,26.0075
MMC,2024-01-01,209.5,,25.9625
MMC,2025-01-01,221.05999999999997,,26.72
BN,2010-01-01,6.6475,,16.1675
BN,2011-01-01,7.4325,,5.37
BN,2012-01-01,9.33,,9.6125
BN,2013-01-01,10.99,,10.4375
BN,2014-01-01,13.6425,,7.3925
BN,2015-01-01,15.455,,8.18
BN,2016-01-01,16.225,,14.7775
BN,2017-01-01,19.585,,33.7575
BN,2018-01-01,20.1175,,11.2925
BN,2019-01-01,25.815,,12.7575
BN,2020-01-01,26.182499999999997,,18.305
BN,2021-01-01,40.7675,,25.7025
BN,2022-01-01,35.615,,18.98
BN,2023-01-01,33.955,,128.1925
BN,2024-01-01,48.2375,,110.66
BN,2025-01-01,58.615,,209.33999999999997
HOOD,2022-01-01,8.82,,0.0
HOOD,2023-01-01,10.56,,0.0
HOOD,2024-01-01,25.88,,66.61
HOOD,2025-01-01,76.425,,43.425
AMT,2010-01-01,35.365,,42.4475
AMT,2011-01-01,40.635,,46.4925
AMT,2012-01-01,53.13,,37.1825
AMT,2013-01-01,58.1375,,39.4575
AMT,2014-01-01,70.75,,40.055
AMT,2015-01-01,73.55,,47.0675
AMT,2016-01-01,87.6575,,49.9225
AMT,2017-01-01,109.675,,44.714999999999996
AMT,2018-01-01,124.5275,,47.075
AMT,2019-01-01,182.565,,51.985
AMT,2020-01-01,205.43,,49.57
AMT,2021-01-01,237.3375,,46.620000000000005
AMT,2022-01-01,211.70499999999998,,39.7
AMT,2023-01-01,182.14249999999998,,78.84
AMT,2024-01-01,195.5025,,52.6175
